               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.018904,           0.0091979,            0.016068,              0.8496,             0.85509,             0.93594,             0.72156,            0.015028,           0.0030545,            0.010388,            0.004654,            0.004654,            0.004654
                  83,            0.019592,           0.0093376,             0.01647,             0.86522,             0.88243,             0.93228,             0.72761,            0.015408,           0.0031123,            0.011674,            0.004588,            0.004588,            0.004588
                  84,             0.01912,           0.0091802,            0.015796,             0.86537,             0.82295,             0.92064,             0.70621,            0.016399,           0.0031532,            0.011883,            0.004522,            0.004522,            0.004522
                  85,            0.018991,           0.0090882,            0.015513,             0.87764,             0.84299,             0.92494,             0.73938,             0.01546,           0.0030922,            0.011823,            0.004456,            0.004456,            0.004456
                  86,            0.019073,            0.009102,            0.015219,             0.85934,             0.86014,             0.93581,             0.72458,            0.015459,           0.0030639,            0.011792,             0.00439,             0.00439,             0.00439
                  87,            0.018984,           0.0088152,            0.014258,             0.88373,             0.86675,              0.9379,             0.74005,            0.015393,           0.0030596,            0.010782,            0.004324,            0.004324,            0.004324
                  88,            0.018706,           0.0089657,            0.014321,             0.90345,             0.85601,             0.92953,             0.71613,            0.016633,           0.0031552,           0.0099159,            0.004258,            0.004258,            0.004258
                  89,            0.018754,             0.00885,            0.013855,             0.84455,             0.87071,             0.92633,             0.71093,            0.016314,           0.0030943,            0.012832,            0.004192,            0.004192,            0.004192
                  90,            0.018327,           0.0088429,            0.014148,             0.89432,             0.85308,             0.92343,             0.71635,            0.016265,            0.003135,            0.010631,            0.004126,            0.004126,            0.004126
                  91,            0.018334,           0.0091284,            0.014098,             0.86879,             0.84469,             0.93766,             0.73342,            0.016471,           0.0031468,            0.010931,             0.00406,             0.00406,             0.00406
                  92,            0.018029,           0.0089533,            0.012994,             0.89584,             0.86044,             0.93316,             0.70883,            0.015657,           0.0029878,            0.010799,            0.003994,            0.003994,            0.003994
                  93,            0.018236,            0.008786,             0.01399,             0.86932,             0.84585,             0.91232,             0.70394,            0.015941,           0.0030287,            0.011537,            0.003928,            0.003928,            0.003928
                  94,            0.018318,           0.0091622,            0.013832,              0.8689,             0.85698,             0.91974,              0.7171,            0.015867,           0.0031173,            0.011758,            0.003862,            0.003862,            0.003862
                  95,            0.018046,           0.0088514,            0.013593,             0.89208,             0.86068,              0.9258,             0.71852,            0.015946,           0.0030773,            0.010991,            0.003796,            0.003796,            0.003796
                  96,            0.017801,           0.0090136,             0.01357,             0.88005,             0.86176,             0.94803,             0.74452,            0.015778,           0.0030208,            0.011379,             0.00373,             0.00373,             0.00373
                  97,            0.017803,           0.0088629,            0.013664,             0.87455,              0.8476,             0.93112,             0.73278,            0.015508,           0.0030345,            0.010826,            0.003664,            0.003664,            0.003664
                  98,            0.017786,           0.0087426,            0.013006,             0.89131,             0.87222,             0.93954,             0.72423,            0.015661,           0.0030422,            0.010691,            0.003598,            0.003598,            0.003598
                  99,            0.018018,           0.0090878,            0.012759,             0.89366,             0.85982,             0.92838,             0.71991,            0.016208,           0.0031131,            0.010463,            0.003532,            0.003532,            0.003532
                 100,            0.017749,           0.0088147,            0.012842,             0.89574,             0.86452,             0.94681,             0.74004,            0.016129,           0.0030165,            0.010686,            0.003466,            0.003466,            0.003466
                 101,            0.017342,           0.0088364,             0.01275,              0.9012,             0.86898,             0.94453,             0.74502,            0.016124,           0.0029689,             0.01114,              0.0034,              0.0034,              0.0034
                 102,            0.017813,           0.0085875,            0.012129,             0.89278,             0.86483,             0.93245,             0.74811,            0.015908,           0.0029537,            0.011396,            0.003334,            0.003334,            0.003334
                 103,            0.017493,            0.009006,            0.011513,             0.89142,              0.8746,             0.93694,             0.74208,            0.015614,           0.0029868,           0.0095163,            0.003268,            0.003268,            0.003268
                 104,            0.017217,           0.0086582,             0.01227,             0.89727,             0.85002,             0.92878,              0.7222,            0.016198,           0.0030542,            0.011731,            0.003202,            0.003202,            0.003202
                 105,            0.017338,            0.008687,            0.012061,              0.8933,             0.86043,             0.93835,             0.76305,            0.015036,           0.0030376,            0.010837,            0.003136,            0.003136,            0.003136
                 106,            0.017411,           0.0086302,            0.012333,             0.86171,             0.83475,             0.93522,             0.75313,            0.015564,           0.0029876,            0.011882,             0.00307,             0.00307,             0.00307
